X Coordinate, Y Coordinate, Z Coordinate
1629.5894,230.8557,-6.2767,
1670.1338,270.6747,-76.2000,
1629.5894,230.8557,-6.2767,
1629.5938,230.8155,-6.2669,
1670.1338,270.6747,-76.2000,
1670.1338,270.6747,-76.2000,
1629.5938,230.8155,-6.2669,
1629.6285,230.5339,-6.1995,
1629.7988,229.6034,-5.9916,
1670.3339,270.1379,-76.2000,
1629.7708,229.7283,-6.0180,
1670.2306,270.4045,-76.2000,
1629.6766,230.2177,-6.1261,
1670.3339,270.1379,-76.2000,
1629.6766,230.2177,-6.1261,
1629.7173,229.9904,-6.0751,
1670.3339,270.1379,-76.2000,
1670.3339,270.1379,-76.2000,
1629.7173,229.9904,-6.0751,
1629.7708,229.7283,-6.0180,
1629.9564,229.0133,-5.8732,
1670.5596,269.6163,-76.2000,
1629.8956,229.2227,-5.9139,
1670.4435,269.8752,-76.2000,
1629.7988,229.6034,-5.9916,
1670.5596,269.6163,-76.2000,
1629.7988,229.6034,-5.9916,
1629.8302,229.4724,-5.9643,
1670.5596,269.6163,-76.2000,
1670.5596,269.6163,-76.2000,
1629.8302,229.4724,-5.9643,
1629.8956,229.2227,-5.9139,
1670.6819,269.3615,-76.2000,
1629.9564,229.0133,-5.8732,
1670.8104,269.1108,-76.2000,
1629.9564,229.0133,-5.8732,
1629.9668,228.9790,-5.8667,
1670.8104,269.1108,-76.2000,
1670.8104,269.1108,-76.2000,
1629.9668,228.9790,-5.8667,
1630.0435,228.7412,-5.8227,
1630.0435,228.7412,-5.8227,
1630.1257,228.5093,-5.7817,
1670.8104,269.1108,-76.2000,
1630.1257,228.5093,-5.7817,
1630.1484,228.4491,-5.7714,
1670.8104,269.1108,-76.2000,
1670.8104,269.1108,-76.2000,
1630.1484,228.4491,-5.7714,
1670.9452,268.8643,-76.2000,
1630.1484,228.4491,-5.7714,
1630.2134,228.2832,-5.7439,
1670.9452,268.8643,-76.2000,
1670.9452,268.8643,-76.2000,
1630.2134,228.2832,-5.7439,
1671.0859,268.6223,-76.2000,
1630.2134,228.2832,-5.7439,
1630.3064,228.0627,-5.7090,
1671.0859,268.6223,-76.2000,
1671.0859,268.6223,-76.2000,
1630.3064,228.0627,-5.7090,
1630.3748,227.9114,-5.6863,
1671.2329,268.3847,-76.2000,
1630.3748,227.9114,-5.6863,
1671.3857,268.1517,-76.2000,
1630.3748,227.9114,-5.6863,
1630.4047,227.8479,-5.6771,
1671.3857,268.1517,-76.2000,
1671.3857,268.1517,-76.2000,
1630.4047,227.8479,-5.6771,
1630.5081,227.6385,-5.6482,
1630.5081,227.6385,-5.6482,
1630.6167,227.4346,-5.6221,
1671.3857,268.1517,-76.2000,
1630.6167,227.4346,-5.6221,
1630.6353,227.4013,-5.6180,
1671.3857,268.1517,-76.2000,
1671.3857,268.1517,-76.2000,
1630.6353,227.4013,-5.6180,
1671.5446,267.9234,-76.2000,
1630.6353,227.4013,-5.6180,
1630.7303,227.2361,-5.5989,
1671.5446,267.9234,-76.2000,
1671.5446,267.9234,-76.2000,
1630.7303,227.2361,-5.5989,
1671.7094,267.6999,-76.2000,
1630.7303,227.2361,-5.5989,
1630.8490,227.0428,-5.5785,
1671.7094,267.6999,-76.2000,
1671.7094,267.6999,-76.2000,
1630.8490,227.0428,-5.5785,
1630.9290,226.9198,-5.5667,
1671.8796,267.4812,-76.2000,
1630.9290,226.9198,-5.5667,
1672.0558,267.2676,-76.2000,
1630.9290,226.9198,-5.5667,
1630.9728,226.8548,-5.5609,
1672.0558,267.2676,-76.2000,
1672.0558,267.2676,-76.2000,
1630.9728,226.8548,-5.5609,
1631.1013,226.6721,-5.5461,
1631.5171,226.1543,-5.5182,
1672.4248,266.8557,-76.2000,
1631.3735,226.3218,-5.5248,
1672.4248,266.8557,-76.2000,
1672.2375,267.0591,-76.2000,
1631.3735,226.3218,-5.5248,
1631.3735,226.3218,-5.5248,
1672.2375,267.0591,-76.2000,
1631.2559,226.4677,-5.5325,
1672.2375,267.0591,-76.2000,
1672.0558,267.2676,-76.2000,
1631.2559,226.4677,-5.5325,
1631.2559,226.4677,-5.5325,
1672.0558,267.2676,-76.2000,
1631.2350,226.4944,-5.5341,
1672.0558,267.2676,-76.2000,
1631.1013,226.6721,-5.5461,
1631.2350,226.4944,-5.5341,
1631.5171,226.1543,-5.5182,
1631.6150,226.0459,-5.5153,
1672.4248,266.8557,-76.2000,
1631.6150,226.0459,-5.5153,
1631.6654,225.9919,-5.5143,
1672.4248,266.8557,-76.2000,
1672.4248,266.8557,-76.2000,
